id,detailCode,duration,endTime,eventDescription,eventDetails,eventNumber,firstName,gameId,hexValue,lastName,period,playerId,shiftNumber,startTime,teamAbbrev,teamId,teamName,typeCode
13680158,0,00:44,13:33,,,346,Brayden,2023020573,#B9975B,McNabb,1,8475188,7,12:49,VGK,54,Vegas Golden Knights,517
13680159,0,00:35,16:48,,,434,Brayden,2023020573,#B9975B,McNabb,1,8475188,8,16:13,VGK,54,Vegas Golden Knights,517
13680231,0,00:36,17:41,,,441,Brayden,2023020573,#B9975B,McNabb,1,8475188,9,17:05,VGK,54,Vegas Golden Knights,517
13680232,0,00:33,19:49,,,517,Brayden,2023020573,#B9975B,McNabb,1,8475188,10,19:16,VGK,54,Vegas Golden Knights,517
13680288,0,00:58,02:19,,,540,Brayden,2023020573,#B9975B,McNabb,2,8475188,11,01:21,VGK,54,Vegas Golden Knights,517
13680289,0,01:17,05:15,,,567,Brayden,2023020573,#B9975B,McNabb,2,8475188,12,03:58,VGK,54,Vegas Golden Knights,517
13680290,0,00:38,07:35,,,1191087,Brayden,2023020573,#B9975B,McNabb,2,8475188,13,06:57,VGK,54,Vegas Golden Knights,517
13680380,0,00:36,09:43,,,1191110,Brayden,2023020573,#B9975B,McNabb,2,8475188,14,09:07,VGK,54,Vegas Golden Knights,517
13680381,0,01:03,12:56,,,1191131,Brayden,2023020573,#B9975B,McNabb,2,8475188,15,11:53,VGK,54,Vegas Golden Knights,517
13680438,0,00:25,16:39,,,1191173,Brayden,2023020573,#B9975B,McNabb,2,8475188,16,16:14,VGK,54,Vegas Golden Knights,517
13680439,0,00:41,20:00,,,1191251,Brayden,2023020573,#B9975B,McNabb,2,8475188,17,19:19,VGK,54,Vegas Golden Knights,517
13680506,0,00:34,01:22,,,1191271,Brayden,2023020573,#B9975B,McNabb,3,8475188,18,00:48,VGK,54,Vegas Golden Knights,517
13680545,0,00:55,03:47,,,1191293,Brayden,2023020573,#B9975B,McNabb,3,8475188,19,02:52,VGK,54,Vegas Golden Knights,517
13680546,0,00:35,06:09,,,1191323,Brayden,2023020573,#B9975B,McNabb,3,8475188,20,05:34,VGK,54,Vegas Golden Knights,517
13680547,0,00:55,09:36,,,1191411,Brayden,2023020573,#B9975B,McNabb,3,8475188,21,08:41,VGK,54,Vegas Golden Knights,517
13680638,0,00:05,11:09,,,1191486,Brayden,2023020573,#B9975B,McNabb,3,8475188,22,11:04,VGK,54,Vegas Golden Knights,517
13680639,0,00:16,12:10,,,1191496,Brayden,2023020573,#B9975B,McNabb,3,8475188,23,11:54,VGK,54,Vegas Golden Knights,517
13680640,0,00:06,14:16,,,1191516,Brayden,2023020573,#B9975B,McNabb,3,8475188,24,14:10,VGK,54,Vegas Golden Knights,517
13680641,0,00:25,15:58,,,1191534,Brayden,2023020573,#B9975B,McNabb,3,8475188,25,15:33,VGK,54,Vegas Golden Knights,517
13680004,0,00:34,01:41,,,160,Tomas,2023020573,#9CDBD9,Tatar,1,8475193,1,01:07,SEA,55,Seattle Kraken,517
13680005,0,00:25,04:13,,,204,Tomas,2023020573,#9CDBD9,Tatar,1,8475193,2,03:48,SEA,55,Seattle Kraken,517
13680070,0,00:58,07:04,,,231,Tomas,2023020573,#9CDBD9,Tatar,1,8475193,3,06:06,SEA,55,Seattle Kraken,517
13680071,0,00:50,09:33,,,308,Tomas,2023020573,#9CDBD9,Tatar,1,8475193,4,08:43,SEA,55,Seattle Kraken,517
13680160,0,00:32,12:32,,,335,Tomas,2023020573,#9CDBD9,Tatar,1,8475193,5,12:00,SEA,55,Seattle Kraken,517
13680161,0,00:37,14:21,,,406,Tomas,2023020573,#9CDBD9,Tatar,1,8475193,6,13:44,SEA,55,Seattle Kraken,517
13680162,0,00:44,16:48,,,430,Tomas,2023020573,#9CDBD9,Tatar,1,8475193,7,16:04,SEA,55,Seattle Kraken,517
13680233,0,00:30,18:54,,,506,Tomas,2023020573,#9CDBD9,Tatar,1,8475193,8,18:24,SEA,55,Seattle Kraken,517
13680291,0,00:42,01:26,,,535,Tomas,2023020573,#9CDBD9,Tatar,2,8475193,9,00:44,SEA,55,Seattle Kraken,517
13680292,0,00:49,04:57,,,569,Tomas,2023020573,#9CDBD9,Tatar,2,8475193,10,04:08,SEA,55,Seattle Kraken,517
13680382,0,01:01,09:07,,,1191102,Tomas,2023020573,#9CDBD9,Tatar,2,8475193,11,08:06,SEA,55,Seattle Kraken,517
13680383,0,00:48,13:12,,,1191136,Tomas,2023020573,#9CDBD9,Tatar,2,8475193,12,12:24,SEA,55,Seattle Kraken,517
13680440,0,00:46,16:14,,,1191163,Tomas,2023020573,#9CDBD9,Tatar,2,8475193,13,15:28,SEA,55,Seattle Kraken,517
13680441,0,00:50,20:00,,,1191248,Tomas,2023020573,#9CDBD9,Tatar,2,8475193,14,19:10,SEA,55,Seattle Kraken,517
13680507,0,00:33,01:21,,,1191272,Tomas,2023020573,#9CDBD9,Tatar,3,8475193,15,00:48,SEA,55,Seattle Kraken,517
13680548,0,00:47,04:32,,,1191303,Tomas,2023020573,#9CDBD9,Tatar,3,8475193,16,03:45,SEA,55,Seattle Kraken,517
13680549,0,00:45,08:38,,,1191404,Tomas,2023020573,#9CDBD9,Tatar,3,8475193,17,07:53,SEA,55,Seattle Kraken,517
13680642,0,01:01,12:10,,,1191488,Tomas,2023020573,#9CDBD9,Tatar,3,8475193,18,11:09,SEA,55,Seattle Kraken,517
13680643,0,00:34,15:28,,,1191526,Tomas,2023020573,#9CDBD9,Tatar,3,8475193,19,14:54,SEA,55,Seattle Kraken,517
13680704,0,00:21,16:19,,,1191542,Tomas,2023020573,#9CDBD9,Tatar,3,8475193,20,15:58,SEA,55,Seattle Kraken,517
13680705,0,00:06,20:00,,,1191575,Tomas,2023020573,#9CDBD9,Tatar,3,8475193,21,19:54,SEA,55,Seattle Kraken,517
13680006,0,00:46,02:05,,,163,Brian,2023020573,#9CDBD9,Dumoulin,1,8475208,1,01:19,SEA,55,Seattle Kraken,517
13680007,0,00:39,04:23,,,199,Brian,2023020573,#9CDBD9,Dumoulin,1,8475208,2,03:44,SEA,55,Seattle Kraken,517
